id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license,city
14238143,"100 metro de la playa, universidades  15min andand",84972913,Andrea,BENIMACLET,BENIMACLET,39.48327,-0.35652,Private room,56.0,7,0,2000-01-01,0,1,88,0,Sin datos,Valencia
15101585,Particular!Piso completo en Alameda 2 habitaciones,4073861,Juan,EL PLA DEL REAL,EXPOSICIO,39.47516561291304,-0.3644403940256198,Entire home/apt,194.0,2,0,2000-01-01,0,2,166,0,Sin datos,Valencia
16869072,Zalamera B&B :: Double private bathroom outside,48578830,Zalamera,EXTRAMURS,LA ROQUETA,39.46628,-0.3783,Private room,96.22222222222223,1,0,2000-01-01,0,6,134,0,Sin datos,Valencia
16951531,Apartamento en Ruzafa,113355623,Fco Jose,L'EIXAMPLE,RUSSAFA,39.46009,-0.37105,Entire home/apt,169.22857142857143,90,0,2000-01-01,0,1,365,0,VT-37965-V,Valencia
17639779,"Brand New, 4 star Hotel Beds, clean, next to metro",536122,Paul,ALGIROS,L'AMISTAT,39.47125,-0.35084,Entire home/apt,150.0,50,0,2000-01-01,0,1,173,0,Sin datos,Valencia
18021689,Habitación soleada,123928774,Ezequiel,BENIMACLET,BENIMACLET,39.48503,-0.36057,Private room,200.0,1,0,2000-01-01,0,1,364,0,Sin datos,Valencia
18318903,AMANECER EN LA PLAYA,113017051,Diego,POBLATS DEL SUD,EL PERELLONET,39.28586,-0.28081,Entire home/apt,200.0,9,0,2000-01-01,0,1,239,0,Sin datos,Valencia
18446920,Apartamento cerca palacio de congresos,127878808,Maria,BENICALAP,BENICALAP,39.49114,-0.39912,Entire home/apt,96.0,5,0,2000-01-01,0,1,349,0,Sin datos,Valencia
18666949,Apartamento bajo playa Moncofar,61253712,Rosa,CIUTAT VELLA,SANT FRANCESC,39.4705,-0.37708,Entire home/apt,243.0,15,0,2000-01-01,0,2,358,0,Sin datos,Valencia
18845422,Precioso piso a 10' de la playa,31441753,Ana Belén,ALGIROS,LA CARRASCA,39.47223,-0.33829,Entire home/apt,290.0,20,0,2000-01-01,0,1,358,0,Sin datos,Valencia
18910073,"Apartamento playa El Perellonet,  15 ' Valencia",131778508,Jose Enrique,POBLATS DEL SUD,EL PERELLONET,39.2804,-0.27876,Entire home/apt,79.0,2,0,2000-01-01,0,1,166,0,Sin datos,Valencia
19579542,Квартира в центре Валенсии,136389689,Антон,QUATRE CARRERES,CIUTAT DE LES ARTS I DE LES CIENCIES,39.45658685582785,-0.3581692518618874,Entire home/apt,159.0,7,0,2000-01-01,0,1,365,0,Sin datos,Valencia
19982230,"Bright new apt, 10min wlk centre/old town, 15min tram beach",10874772,Rachel,LA SAIDIA,MARXALENES,39.48502,-0.38013,Entire home/apt,120.0,2,0,2000-01-01,0,1,362,0,Sin datos,Valencia
21940679,Apartamiento luz de maria MDPF,129530942,Amanda De Fatima,QUATRE CARRERES,LA PUNTA,39.45325,-0.34332,Entire home/apt,225.0,1,0,2000-01-01,0,2,0,0,Sin datos,Valencia
22956487,LUXIOUS APART  IN CENTER PLAZA AYUNTMIENTO +wifi,156035558,Omar,CIUTAT VELLA,SANT FRANCESC,39.47163,-0.37506,Entire home/apt,169.0,4,0,2000-01-01,0,1,173,0,Sin datos,Valencia
23576111,Habitación ático con terraza en Ruzafa / Centro,30698736,Gerard,L'EIXAMPLE,RUSSAFA,39.46456,-0.37543,Private room,342.0,2,0,2000-01-01,0,1,365,0,Sin datos,Valencia
23820340,Casa única con fuego antiguo,178801302,Fermin,CIUTAT VELLA,EL CARME,39.47849,-0.38184,Entire home/apt,200.0,1,0,2000-01-01,0,1,364,0,Sin datos,Valencia
24008528,Espléndido piso para disfrutar de Valencia,96761909,David,LA SAIDIA,SANT ANTONI,39.49071,-0.37461,Entire home/apt,350.0,1,0,2000-01-01,0,1,270,0,Sin datos,Valencia
24521320,Pistachio room,134222176,Mila,CIUTAT VELLA,EL PILAR,39.47182,-0.3805,Private room,53.0,2,0,2000-01-01,0,5,182,0,VT-45207-V,Valencia
26922029,Habitación doble,201249507,Mohammed,QUATRE CARRERES,CIUTAT DE LES ARTS I DE LES CIENCIES,39.45234,-0.36259,Private room,75.0,1,0,2000-01-01,0,1,363,0,Sin datos,Valencia
26938835,Estudio Básico con balcón,102196656,Welcomergroup,CIUTAT VELLA,EL CARME,39.47708,-0.37904,Entire home/apt,166.0,1,0,2000-01-01,0,22,143,0,VT-33812-V,Valencia
26954928,VERY CENTRICAL HOUSE,15127620,Jose,L'OLIVERETA,NOU MOLES,39.46924,-0.39279,Entire home/apt,720.0,3,0,2000-01-01,0,3,89,0,Sin datos,Valencia
27525834,Vivienda independiente en Centro de Valencia,99031955,Alex,CIUTAT VELLA,SANT FRANCESC,39.46934,-0.37612,Private room,46.0,10,0,2000-01-01,0,1,365,0,Sin datos,Valencia
28113229,Cristina center,72081969,Cristina,LA SAIDIA,SANT ANTONI,39.487434,-0.3721014,Entire home/apt,182.0,2,0,2000-01-01,0,1,144,0,VT42767-V,Valencia
30537775,Abc Zurbarán en el corazón de la ciudad,158286946,Salva,L'EIXAMPLE,EL PLA DEL REMEI,39.46718,-0.37172,Entire home/apt,464.0,2,0,2000-01-01,0,5,296,0,AT-45569-V,Valencia
31376773,Apartment in Valencia,102065173,Della,EXTRAMURS,EL BOTANIC,39.47706,-0.38467,Entire home/apt,300.0,7,0,2000-01-01,0,1,90,0,Sin datos,Valencia
34670220,Galileo Galilei - Adapted Single Room,82067426,Albergue Juvenil,ALGIROS,LA CARRASCA,39.47818,-0.34004,Hotel room,84.0,1,0,2000-01-01,0,4,0,0,Sin datos,Valencia
35460090,Mini-Estudio Pi.1 - H4,129561267,Maria Mercedes,QUATRE CARRERES,MONT-OLIVET,39.45899,-0.36735,Entire home/apt,17.0,30,0,2000-01-01,0,5,0,0,Sin datos,Valencia
35912270,"HOTEL SAN LORENZO BOUTIQUE, APARTMENT",266241513,San Lorenzo Hotel Boutique,CIUTAT VELLA,LA XEREA,39.47617,-0.3728,Private room,43.0,1,0,2000-01-01,0,4,0,0,Sin datos,Valencia
36510163,2 Bedroom Apartment with balcony. Old Town. Valencia. MS2,170698476,Bet,CIUTAT VELLA,EL CARME,39.47725,-0.38181,Entire home/apt,303.0,1,0,2000-01-01,0,54,88,0,VT-33717-V,Valencia
36510187,Twin Double Room. 2 PAX. Canovas. Valencia. CAN 3,170698476,Bet,L'EIXAMPLE,LA GRAN VIA,39.46756,-0.36539,Entire home/apt,169.0,1,0,2000-01-01,0,54,42,0,HV-1463,Valencia
36510432,1 Bedroom Apartment. 3 PAX. Catedral. Valencia. CAT 42,170698476,Bet,CIUTAT VELLA,LA SEU,39.47806,-0.37399,Entire home/apt,243.0,1,0,2000-01-01,0,54,226,0,VT-28438-V,Valencia
36510524,1 Bedroom Apartment with balcony. 2 PAX. Catedral. CAT 33,170698476,Bet,CIUTAT VELLA,LA SEU,39.47628,-0.37443,Entire home/apt,243.0,1,0,2000-01-01,0,54,226,0,VT-28441-V,Valencia
36510569,1 Bedroom Apartment with balcony. 3 PAX. Catedral. CAT 24,170698476,Bet,CIUTAT VELLA,LA SEU,39.4765,-0.37595,Entire home/apt,212.64285714285714,1,0,2000-01-01,0,54,226,0,VT-28443-V,Valencia
36510648,1 Bedroom Apartment. 3 PAX. Catedral. Valencia. CAT 41,170698476,Bet,CIUTAT VELLA,LA SEU,39.47687,-0.37616,Entire home/apt,212.64285714285714,1,0,2000-01-01,0,54,226,0,28434,Valencia
36510690,Penthouse with terrace. 2 PAX. Catedral. CAT 52,170698476,Bet,CIUTAT VELLA,LA SEU,39.47752,-0.37383,Entire home/apt,294.0,1,0,2000-01-01,0,54,226,0,VT-28447-V,Valencia
36510765,Penthouse with terrace. 2 PAX. Catedral. CAT 51,170698476,Bet,CIUTAT VELLA,LA SEU,39.47596,-0.37556,Entire home/apt,212.64285714285714,1,0,2000-01-01,0,54,0,0,28446,Valencia
37142260,Exclusive room overlooking the center of Valencia,256429883,One Shot Palacio Reina Victoria 04,CIUTAT VELLA,SANT FRANCESC,39.47109,-0.37427,Private room,229.0,1,0,2000-01-01,0,6,302,0,Sin datos,Valencia
37800157,Port Valencia Center,173081772,Fernando,CAMINS AL GRAU,LA CREU DEL GRAU,39.46186,-0.34249,Entire home/apt,128.83333333333334,2,0,2000-01-01,0,1,0,0,VT-43831-V,Valencia
39417986,FLAT EL CARMEN CENTRO DE VALENCIA,141206394,Rafael,CIUTAT VELLA,EL CARME,39.47768,-0.37696,Entire home/apt,167.58064516129033,60,0,2000-01-01,0,1,23,0,Sin datos,Valencia
39457483,Habitacion minimalista en un ambiente tranquilo,64159672,Viviana,POBLATS DEL SUD,FAITANAR,39.43136,-0.39258,Private room,178.0,1,0,2000-01-01,0,1,179,0,Sin datos,Valencia
39888703,MARAVILLOSAS VACACIONES EN VALENCIA,307171138,Luis,BENIMACLET,BENIMACLET,39.48552,-0.35612,Private room,50.0,8,0,2000-01-01,0,2,179,0,Sin datos,Valencia
39889097,TURISTAS EN VALENCIA,307171138,Luis,BENIMACLET,BENIMACLET,39.48484,-0.35634,Private room,50.0,8,0,2000-01-01,0,2,179,0,Sin datos,Valencia
39949254,patricia casa vacacional,221367013,Alejandro,JESUS,L'HORT DE SENABRE,39.44897,-0.3908,Private room,50.0,17,0,2000-01-01,0,1,181,0,Sin datos,Valencia
40108531,Unique Historic/Design Apartment,6811369,Jorge,EXTRAMURS,LA PETXINA,39.4709711838042,-0.3880290907477444,Entire home/apt,88.0,32,0,2000-01-01,0,1,144,0,Sin datos,Valencia
40296306,Duplex Apartment in OYO Style Apartments Puerto,259148694,Paula,CAMINS AL GRAU,CAMI FONDO,39.46546,-0.35458,Private room,28.5,1,0,2000-01-01,0,1,179,0,EG-187-V,Valencia
40590803,Colivïng Plus Ultra,19452082,Salvador,L'EIXAMPLE,RUSSAFA,39.45891,-0.37557,Private room,60.0,7,0,2000-01-01,0,14,362,0,Sin datos,Valencia
40677070,Cosy duplex in Valencia center.,200746199,Neyl,CIUTAT VELLA,EL MERCAT,39.47414,-0.3788,Entire home/apt,300.0,4,0,2000-01-01,0,1,364,0,Sin datos,Valencia
41498976,Casa con vista al mar en primera línea BEACH HOUSE,249791639,Mario,POBLATS DEL SUD,EL PERELLONET,39.30141067504883,-0.2912040054798126,Entire home/apt,110.0,15,0,2000-01-01,0,1,74,0,Sin datos,Valencia
41851061,Extraordinario piso en Valencia,330830064,Marisa,BENIMACLET,BENIMACLET,39.48915,-0.36623,Entire home/apt,200.0,15,0,2000-01-01,0,1,365,0,Sin datos,Valencia
42105920,Apartamento en Hotel Boutique,266241513,San Lorenzo Hotel Boutique,CIUTAT VELLA,LA SEU,39.47694,-0.37389,Private room,123.33333333333333,1,0,2000-01-01,0,4,0,0,B97622682,Valencia
42347001,Habitación disponible para fallas!,153163547,Luis,RASCANYA,SANT LLORENS,39.48784,-0.36511,Private room,31.0,30,0,2000-01-01,0,1,364,0,Sin datos,Valencia
42552430,Cómoda y moderna habitación para dos,219955192,Daniel,LA SAIDIA,TORMOS,39.48995,-0.37701,Private room,76.0,4,0,2000-01-01,0,2,179,0,Sin datos,Valencia
42988148,APARTMENTSUITESPAIN Beach Economy,50015130,Julian,POBLATS MARITIMS,LA MALVA-ROSA,39.47909,-0.32734,Entire home/apt,746.0625,2,0,2000-01-01,0,7,0,0,VT-38053-V,Valencia
42997469,APARTMENTSUITESPAIN Beach Family,50015130,Julian,POBLATS MARITIMS,CABANYAL-CANYAMELAR,39.4745,-0.3288,Entire home/apt,153.38571428571427,2,0,2000-01-01,0,7,0,0,Sin datos,Valencia
43321700,Amplio y luminoso Apartamento totalmente equipado,191177985,Hqrooms,EXTRAMURS,ARRANCAPINS,39.46385,-0.38264,Entire home/apt,134.47058823529412,28,0,2000-01-01,0,5,0,0,B98924327,Valencia
43329798,Amplio Apartamento de 3 dormitorios con balcón,191177985,Hqrooms,EXTRAMURS,ARRANCAPINS,39.46192,-0.38274,Entire home/apt,134.47058823529412,28,0,2000-01-01,0,5,0,0,B98924327,Valencia
43601629,Ático dúplex enorme y luminoso,145708883,Salvador,EL PLA DEL REAL,MESTALLA,39.46707,-0.35725,Entire home/apt,625.0,7,0,2000-01-01,0,1,127,0,VT-44130-V,Valencia
44058754,Apartamento en playa El Perellonet,284731473,Fernando,POBLATS DEL SUD,EL PERELLONET,39.27948,-0.27796,Entire home/apt,137.14285714285714,7,0,2000-01-01,0,1,177,0,Sin datos,Valencia
44086287,CASA MARÍTIMO,4945920,Isabel,CAMINS AL GRAU,AIORA,39.46494,-0.34048,Entire home/apt,195.0,30,0,2000-01-01,0,4,179,0,Sin datos,Valencia
44326848,Alquiler dos habitaciones individuales larga est.,118087781,Aurora,ALGIROS,L'AMISTAT,39.47402,-0.34888,Private room,50.0,90,0,2000-01-01,0,1,365,0,Sin datos,Valencia
46206653,Tiny Rooms con bañera hidromasaje para 2_9,357999866,Tiny,BENICALAP,BENICALAP,39.49532,-0.39732,Entire home/apt,143.0,1,0,2000-01-01,0,1,174,0,Sin datos,Valencia
47915097,Apartamento entero Playa Perellonet en Valencia,46052758,Coco,POBLATS DEL SUD,EL PERELLONET,39.29049,-0.28354,Entire home/apt,200.0,6,0,2000-01-01,0,1,352,0,Sin datos,Valencia
48004782,Apartamento 1 dormitorio - VALENCIAFLATS CIUDAD DEL LAS CIENCIAS,386338878,Valenciaflats,QUATRE CARRERES,CIUTAT DE LES ARTS I DE LES CIENCIES,39.45652,-0.35913,Entire home/apt,1215.0,1,0,2000-01-01,0,3,0,0,B98331887,Valencia
48004823,Apartamento 2 dormitorios 75m2 - VALENCIAFLATS CIUDAD DE LAS CIENCIAS,386338878,Valenciaflats,QUATRE CARRERES,CIUTAT DE LES ARTS I DE LES CIENCIES,39.45421,-0.35906,Entire home/apt,1235.0,1,0,2000-01-01,0,3,0,0,B98331887,Valencia
48533818,Piso Nueva Fe Valencia,54992506,Maria Angeles,QUATRE CARRERES,MALILLA,39.44343,-0.37842,Entire home/apt,112.0,11,0,2000-01-01,0,3,57,0,Sin datos,Valencia
48766509,CR3- Habitación cerca de la Universidad y la Playa,393402660,Silvia,ALGIROS,CIUTAT JARDI,39.47183,-0.34327,Private room,25.0,30,0,2000-01-01,0,3,185,0,Sin datos,Valencia
48823848,APARTAMENTOS WALLACE 3 ADULTOS,393833855,Apartamentos Wallace,CIUTAT VELLA,SANT FRANCESC,39.47035,-0.37653,Entire home/apt,1256.0,1,0,2000-01-01,0,2,0,0,B98331887,Valencia
50390676,Apartamento al lado de la playa con piscina,130961823,Laura,POBLATS DEL SUD,EL PERELLONET,39.2843,-0.28245,Entire home/apt,137.14285714285714,30,0,2000-01-01,0,1,88,0,Sin datos,Valencia
50433644,Habitación privada para cuatro personas con Terraza Vistas a la Plaza del Ayuntamiento en Hotel Plaza View,404954120,Premium Flats,CIUTAT VELLA,SANT FRANCESC,39.47226,-0.37644,Private room,109.9,1,0,2000-01-01,0,2,0,0,Sin datos,Valencia
50807371,Complete private appartment close to main beach,50060828,Mark,POBLATS MARITIMS,CABANYAL-CANYAMELAR,39.468189,-0.331022,Entire home/apt,80.0,60,0,2000-01-01,0,1,195,0,Sin datos,Valencia
51054733,Habitación para dos personas en Valencia,266463724,Carolina,CAMINS AL GRAU,PENYA-ROJA,39.46234,-0.35623,Private room,185.0,1,0,2000-01-01,0,3,68,0,Sin datos,Valencia
51054778,Habitación Privada  en la Ciudad de las Ciencias,266463724,Carolina,CAMINS AL GRAU,PENYA-ROJA,39.46184,-0.3578,Private room,261.0,1,0,2000-01-01,0,3,96,0,Sin datos,Valencia
51639263,Ideal para ver fallas,24367730,Luz,EL PLA DEL REAL,MESTALLA,39.47256377808919,-0.3611957752819037,Private room,60.0,3,0,2000-01-01,0,12,212,0,Sin datos,Valencia
51656607,Apartment near Plaza Ayuntamiento in the historic center of Valencia,201741093,Your.Rentals,CIUTAT VELLA,SANT FRANCESC,39.4712118,-0.3782244,Entire home/apt,232.04545454545453,2,0,2000-01-01,0,4,324,0,VT-38131-V,Valencia
53837584,H5 Elegante y soleada habitacion doble en coliving,400448714,MyCO,CIUTAT VELLA,SANT FRANCESC,39.47139,-0.37315,Private room,48.0,30,0,2000-01-01,0,31,359,0,Sin datos,Valencia
54330359,Habitación individual 3,162072951,Inmaculada,POBLATS MARITIMS,LA MALVA-ROSA,39.48045,-0.32887,Private room,62.0,7,0,2000-01-01,0,3,308,0,Sin datos,Valencia
498194164881103028,Hermoso apartamento cerca de la plaza de la Reina,273469059,Ingrid Rosa,CIUTAT VELLA,LA SEU,39.47477,-0.37591,Entire home/apt,212.64285714285714,3,0,2000-01-01,0,1,129,0,Sin datos,Valencia
511968929133566627,Habitación cómoda,94845031,Mary,RASCANYA,TORREFIEL,39.49511,-0.37232,Private room,40.0,1,0,2000-01-01,0,1,365,0,45628785235,Valencia
560062702969600277,Apt. in València,432412764,"Loic, Estelle And Co",POBLATS MARITIMS,CABANYAL-CANYAMELAR,39.4646,-0.33139,Entire home/apt,246.0,1,0,2000-01-01,0,1,364,0,VT/38635-V,Valencia
560062888035575205,València Apartment,432413455,"Loic, Estelle And Co",L'OLIVERETA,NOU MOLES,39.473061,-0.406194,Entire home/apt,85.0,1,0,2000-01-01,0,1,365,0,GVMAG/2019/639,Valencia
574474426190005829,Valencia Luxury - Boutique Center Estándar 4,409088222,Cristian,CIUTAT VELLA,SANT FRANCESC,39.47037,-0.3768,Entire home/apt,181.0,2,0,2000-01-01,0,31,0,0,Sin datos,Valencia
579413677943592180,Habitación privada cerca del mar,128822597,Mariam,POBLATS MARITIMS,EL GRAU,39.46107946529378,-0.3371577960389651,Private room,59.0,2,0,2000-01-01,0,2,359,0,Sin datos,Valencia
582608829333253636,Safe and calm town near the beach and new centre.,449573106,Anzhela,CAMINS AL GRAU,AIORA,39.46225,-0.3393,Entire home/apt,70.0,3,0,2000-01-01,0,1,79,0,Sin datos,Valencia
589014348235968478,Turia ● metro -2 minets,450928052,Lesia,CAMPANAR,CAMPANAR,39.48397,-0.38845,Entire home/apt,132.0,11,0,2000-01-01,0,1,88,0,Sin datos,Valencia
593979699152628422,Travel habitat La Marina Real Nº5.,97229818,Travel Habitat,POBLATS MARITIMS,EL GRAU,39.4593902,-0.3358135,Entire home/apt,151.0,1,0,2000-01-01,0,60,296,0,HV-1487,Valencia
593979709618491092,Travel Habitat La Marina Real Loft 1,97229818,Travel Habitat,POBLATS MARITIMS,EL GRAU,39.4593902,-0.3358135,Entire home/apt,148.0,1,0,2000-01-01,0,60,263,0,HV-1487,Valencia
597542647272114048,Mar44 Ii,83066665,SingularStays,CIUTAT VELLA,LA XEREA,39.47351,-0.37168,Entire home/apt,414.0,1,0,2000-01-01,0,113,222,0,VT-34021-V,Valencia
597542787341520677,Maritim,83066665,SingularStays,CAMINS AL GRAU,AIORA,39.46493,-0.34336,Entire home/apt,121.0,1,0,2000-01-01,0,113,107,0,AT-34378-V,Valencia
597542946845190772,Mar44 Viii,83066665,SingularStays,CIUTAT VELLA,LA XEREA,39.47351,-0.37168,Entire home/apt,244.0,1,0,2000-01-01,0,113,258,0,VT-34027-V,Valencia
597543036359496346,Botanico 101,83066665,SingularStays,EXTRAMURS,EL BOTANIC,39.47505,-0.38592,Entire home/apt,232.0,1,0,2000-01-01,0,113,162,0,VT-30252-V,Valencia
597543285089971669,Parque Central V,83066665,SingularStays,L'EIXAMPLE,RUSSAFA,39.46119,-0.3775,Entire home/apt,258.0,1,0,2000-01-01,0,113,220,0,VT-42046-V,Valencia
597543295682238313,Parque Central VI,83066665,SingularStays,L'EIXAMPLE,RUSSAFA,39.46119,-0.37757,Entire home/apt,224.0,1,0,2000-01-01,0,113,188,0,VT-42057-V,Valencia
597543339930867997,Parque Central IV,83066665,SingularStays,L'EIXAMPLE,RUSSAFA,39.46116,-0.37753,Entire home/apt,322.0,1,0,2000-01-01,0,113,217,0,VT-42044-V,Valencia
597543447076136827,Quevedo II,83066665,SingularStays,CIUTAT VELLA,EL PILAR,39.47128,-0.38098,Entire home/apt,89.0,1,0,2000-01-01,0,113,210,0,Sin datos,Valencia
597543483320072645,Ruzafa Terrace,83066665,SingularStays,L'EIXAMPLE,RUSSAFA,39.46321,-0.37298,Entire home/apt,115.0,1,0,2000-01-01,0,113,51,0,VT-47804-V,Valencia
597543845085121826,Valencia Center Ii,83066665,SingularStays,EXTRAMURS,LA ROQUETA,39.46607,-0.37904,Entire home/apt,314.0,1,0,2000-01-01,0,113,235,0,VT-47168-V,Valencia
597543854318977651,Valencia Center Iii,83066665,SingularStays,EXTRAMURS,LA ROQUETA,39.46607,-0.37904,Entire home/apt,323.0,1,0,2000-01-01,0,113,261,0,VT-47212-V,Valencia
597543872118799191,Valencia Center V,83066665,SingularStays,EXTRAMURS,LA ROQUETA,39.46607,-0.37904,Entire home/apt,336.0,1,0,2000-01-01,0,113,257,0,Sin datos,Valencia
597671822873165121,"Magnífica habitación con balcon al mar,en Valencia",3096012,Tatiana,POBLATS MARITIMS,CABANYAL-CANYAMELAR,39.46355,-0.33006,Private room,64.0,2,0,2000-01-01,0,1,361,0,Sin datos,Valencia
600518391911800392,Coliving River Park,19452082,Salvador,CAMPANAR,LES TENDETES,39.48282,-0.38509,Private room,60.0,7,0,2000-01-01,0,14,364,0,Sin datos,Valencia
616361630090855719,Elegante y lujosoapartamento en pleno centro,245147389,Luis,L'EIXAMPLE,LA GRAN VIA,39.467834,-0.365676,Entire home/apt,365.0,1,0,2000-01-01,0,1,359,0,Sin datos,Valencia
617315084714842181,Precioso habitación en la mejor zona de valencia.,117937979,Marcus,QUATRE CARRERES,MONT-OLIVET,39.45957,-0.36083,Private room,34.0,21,0,2000-01-01,0,1,364,0,Sin datos,Valencia
627324371598426072,Квартира рядом с метро в хорошем районе,104278620,Alexey,ALGIROS,L'AMISTAT,39.47234,-0.35373,Entire home/apt,330.0,3,0,2000-01-01,0,1,364,0,Sin datos,Valencia
633299382722040940,Fantastico piso a lado de la playa del Perellonet,460565072,Cosimo Damiano,POBLATS DEL SUD,EL PERELLONET,39.28082,-0.27764,Entire home/apt,105.0,4,0,2000-01-01,0,1,295,0,Sin datos,Valencia
636560066726855849,Precioso  piso para 8 pnas en 1a línea de playa,271563825,Julia,POBLATS DEL SUD,EL PERELLONET,39.29285,-0.28525,Entire home/apt,175.0,30,0,2000-01-01,0,1,363,0,Sin datos,Valencia
641253909496656293,Precioso apartamento en Valencia,53042511,Rocio,L'OLIVERETA,NOU MOLES,39.473385116163314,-0.395064577460289,Private room,40.0,15,0,2000-01-01,0,1,365,0,Sin datos,Valencia
641344261538300181,Autocaravana Rustic Escapes,462421478,Ella,POBLATS DEL NORD,MASSARROJOS,39.54777,-0.41771,Entire home/apt,162.0,2,0,2000-01-01,0,1,90,0,Sin datos,Valencia
643808833619346701,Coliving Arrancapins,19452082,Salvador,EXTRAMURS,ARRANCAPINS,39.4656835,-0.3868833,Private room,65.0,5,0,2000-01-01,0,14,364,0,Sin datos,Valencia
643947723839799786,Coliving Rivër Park,19452082,Salvador,CAMPANAR,LES TENDETES,39.48053,-0.38511,Private room,55.0,7,0,2000-01-01,0,14,364,0,Sin datos,Valencia
645452902914272647,dulce vida,461479865,Jessica,QUATRE CARRERES,EN CORTS,39.45543,-0.37377,Private room,50.0,28,0,2000-01-01,0,3,364,0,Sin datos,Valencia
654170047395063195,Immaculate 12-Bed Apartment in Valencia,439074505,Travelnest,LA SAIDIA,SANT ANTONI,39.48699,-0.37534,Entire home/apt,270.0,1,0,2000-01-01,0,3,364,0,EGVT-00123-V,Valencia
654798604479124465,Spacious  modern flat close beach&terrace&wifi,465324815,Elodie,ALGIROS,CIUTAT JARDI,39.47273,-0.34713,Entire home/apt,126.0,3,0,2000-01-01,0,30,356,0,Sin datos,Valencia
654799225924141254,Lovely flat at Valencia with 6 rooms,465324815,Elodie,LA SAIDIA,SANT ANTONI,39.48664,-0.37558,Entire home/apt,239.0,7,0,2000-01-01,0,30,365,0,Sin datos,Valencia
659160113462219665,Cøliving River Park,19452082,Salvador,CAMPANAR,LES TENDETES,39.48069,-0.38438,Private room,86.0,7,0,2000-01-01,0,14,364,0,Sin datos,Valencia
672299371918903073,apartamento con terraza  cerca del puerto de val,469789397,Lyes,POBLATS MARITIMS,EL GRAU,39.45774,-0.33549,Entire home/apt,193.0,2,0,2000-01-01,0,1,273,0,Sin datos,Valencia
673780774053309393,Fantastic  apartment close beach and wifi,465324815,Elodie,ALGIROS,CIUTAT JARDI,39.47288,-0.34761,Entire home/apt,270.0,3,0,2000-01-01,0,30,362,0,Sin datos,Valencia
676150677923968249,Georgous  apartamento close beach&Metro+Wifi,465324815,Elodie,ALGIROS,CIUTAT JARDI,39.47078,-0.34819,Entire home/apt,120.0,6,0,2000-01-01,0,30,360,0,Sin datos,Valencia
680272618397674488,Habitación tranquila,371693568,Flor,BENICALAP,BENICALAP,39.491068,-0.3838703,Private room,24.0,1,0,2000-01-01,0,1,257,0,Sin datos,Valencia
681182513333592656,1 Bedroom Apartment. 3 PAX. Catedral. Valencia. CAT 12,170698476,Bet,CIUTAT VELLA,LA SEU,39.47825,-0.37576,Entire home/apt,243.0,1,0,2000-01-01,0,54,226,0,VT-28435-V,Valencia
