id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
1263619,Open White Loft by CuldeSac,6879501,Mónica,CIUTAT VELLA,EL PILAR,39.47109,-0.38169,Entire home/apt,205,3,153,2025-02-25,1.08,1,53,21,
1308898,BUBBLE CARO FLAT- City Center- :D,7115413,Elena,CIUTAT VELLA,EL CARME,39.48005,-0.38036,Entire home/apt,127,2,424,2025-02-16,3.00,1,54,34,VT-36275-V
1331704,Trendy apartment in down town. WiFi,5824416,F.,L'EIXAMPLE,RUSSAFA,39.46139,-0.37657,Entire home/apt,59,2,195,2025-02-22,1.38,1,77,17,VT-44536-V
1381562,"Céntrico, moderno y a buen precio",7481013,Jesus,CIUTAT VELLA,EL CARME,39.47938,-0.3816,Entire home/apt,80,3,359,2025-01-01,2.63,1,0,31,VT-45016-V
1391621,Pequeño Studio luminoso,7523691,Elena,EXTRAMURS,ARRANCAPINS,39.46842,-0.38674,Entire home/apt,53,5,51,2022-12-06,0.40,1,29,0,
1400077,Central flat with sunny terrace,727214,Meike,CIUTAT VELLA,EL CARME,39.47837,-0.37671,Entire home/apt,95,7,205,2025-02-17,1.48,1,28,21,VT-46600-V
1435971,Apartamento pleno centro,3419118,Ana Amaya,CIUTAT VELLA,LA SEU,39.47701,-0.37513,Entire home/apt,249,28,13,2024-08-18,0.09,1,123,4,
1460051,BEAUTIFUL 2 BEDROOM FLAT WITH WIFI,6871400,Montse,L'EIXAMPLE,LA GRAN VIA,39.46449,-0.36583,Entire home/apt,169,3,236,2025-03-10,1.68,1,258,36,44796795V
1470620,Nordic Stay Valencia 5 - Joaquin Sorolla station,3828810,Tom,JESUS,LA RAIOSA,39.45716,-0.38505,Entire home/apt,119,7,57,2025-01-02,0.41,1,115,23,VT-46325-V
1538774,Loft Torres de Serranos,8204317,Carlos,CIUTAT VELLA,EL CARME,39.47973,-0.37538,Entire home/apt,141,4,223,2024-10-26,1.87,1,122,25,VT-38036-V
1587310,Single room in Benimaclet,8286196,Elena,BENIMACLET,BENIMACLET,39.48643,-0.36135,Private room,24,2,73,2025-02-15,0.64,1,54,13,
1639276,Main Central Station Apartment,8704211,Francisco Javier,EXTRAMURS,LA ROQUETA,39.46665,-0.37949,Entire home/apt,206,3,175,2025-03-06,1.27,2,110,19,VT-41697-V
1658018,Single Room 1 Valencia Beach,8788278,Laura,POBLATS MARITIMS,CABANYAL-CANYAMELAR,39.46878,-0.33275,Private room,25,3,115,2024-10-13,0.83,3,89,10,VT-45916-V
1702630,Charming house next to the beach,8988014,Emilio Y Sara,POBLATS MARITIMS,CABANYAL-CANYAMELAR,39.46594,-0.3318,Entire home/apt,93,3,118,2024-11-29,0.88,6,124,3,VT-36805-V
1713200,Beautiful Beach Studio,8987701,Adolfo Y Sara,POBLATS MARITIMS,CABANYAL-CANYAMELAR,39.46639,-0.33211,Entire home/apt,187,2,25,2024-12-02,0.19,4,81,2,VT-36716-V
1715466,Apt Cabanyal | Beach 8 Min | Terrace | Smart TV,9046020,David,POBLATS MARITIMS,CABANYAL-CANYAMELAR,39.470970153808594,-0.3310120105743408,Entire home/apt,85,1,171,2025-03-11,1.28,2,125,31,VT-38167-V
1740954,Valencia's  apartment 3 bedroom,3690047,Mompo Gimeno Asociados Sl,L'EIXAMPLE,RUSSAFA,39.45926,-0.37637,Entire home/apt,128,30,57,2024-06-12,0.42,5,237,3,
1758184,cozy loft patio+pool +wifi,9244329,Jo,L'EIXAMPLE,RUSSAFA,39.463,-0.36836,Entire home/apt,179,3,306,2024-10-26,2.22,4,194,7,VT-36177-V
1830872,Beautiful House with terrace,9575983,Alejandro,POBLATS MARITIMS,CABANYAL-CANYAMELAR,39.46482,-0.32747,Entire home/apt,293,2,293,2025-03-11,2.15,1,260,24,VT-33277-V
1838698,Fantastic Family House,9610872,Jose,L'OLIVERETA,TRES FORQUES,39.46727,-0.40433,Entire home/apt,93,5,63,2024-08-31,0.46,1,247,6,
1842000,Luxury air-con 3 bed apt. Arts and Sciences area,9222108,Diana,CAMINS AL GRAU,PENYA-ROJA,39.45848846435547,-0.34858399629592896,Entire home/apt,265,3,71,2025-03-10,1.10,1,260,28,
1842193,"Estudio, lugar singular + wiffi, a pie calle",9244329,Jo,L'EIXAMPLE,RUSSAFA,39.46163,-0.36955,Entire home/apt,111,2,58,2023-08-22,0.62,4,300,0,VT-36177-V
1895636,Luxury Attic Old town Valencia,9609511,James,CIUTAT VELLA,LA XEREA,39.47343,-0.37101,Entire home/apt,174,30,0,,,1,365,0,
1991246,HABITACIÓN AMPLIA DOBLE (double room),8788278,Laura,POBLATS MARITIMS,CABANYAL-CANYAMELAR,39.46837615966797,-0.3317129909992218,Private room,50,2,72,2024-12-02,0.54,3,47,19,VT-45916-V
2053439,Luxury apartment Valencia Center,10172001,Jose,CIUTAT VELLA,LA XEREA,39.47625,-0.37203,Entire home/apt,159,3,263,2025-03-07,2.17,1,305,30,
2103536,Penthouse with terrace and pool,10725621,Erika,CAMINS AL GRAU,AIORA,39.46336,-0.33761,Entire home/apt,163,3,178,2025-02-09,1.40,1,310,18,
2146923,Great 3 bd flat historical centre,10959379,Victoria,CIUTAT VELLA,EL CARME,39.47798,-0.38155,Entire home/apt,177,1,729,2025-03-03,5.38,5,73,46,VT32878V
2211787,NEW COSY LOFT IN HEART OF VALENCIA,9855565,Maria,EXTRAMURS,ARRANCAPINS,39.46609,-0.38208,Entire home/apt,111,3,552,2025-03-09,4.08,1,120,68,VT-44006-V
2353221,Habitación centro doble con terraza  valencia,2423092,Maria Luisa,L'EIXAMPLE,RUSSAFA,39.46215,-0.37183,Private room,46,3,109,2025-03-01,0.81,2,353,24,
2360229,DOUBLE ROOM+WIFI+TERRACE,7463142,Silvia,L'OLIVERETA,NOU MOLES,39.47135,-0.40503,Private room,44,28,59,2024-12-21,0.44,1,179,1,
2364778,Lovely flat in ideal location Wifi,3454879,Vivien,L'EIXAMPLE,LA GRAN VIA,39.46807,-0.36511,Entire home/apt,174,5,288,2025-03-10,2.15,1,28,16,VT-37238-V
2375520,Central with double bed,2102653,Viviani,EXTRAMURS,ARRANCAPINS,39.46673,-0.38829,Private room,53,3,41,2025-03-05,0.31,1,32,14,
2424805,Central & spacious with Bali Style/Nice Terrace,12392664,Laura,QUATRE CARRERES,MONT-OLIVET,39.4601,-0.3665,Entire home/apt,155,7,148,2025-02-22,1.11,1,135,20,
2445550,Centric apartament terrace and wifi,6068973,Carlos,CIUTAT VELLA,SANT FRANCESC,39.47161,-0.37684,Entire home/apt,,100,220,2019-09-25,1.64,1,0,0,VT-37898-V
2452337,Estudio para parejas con Wifi en la playa,8988014,Emilio Y Sara,POBLATS MARITIMS,CABANYAL-CANYAMELAR,39.46845,-0.33164,Entire home/apt,102,3,180,2025-02-15,1.38,6,17,3,VT-36803-V
2459637,Habitación céntrica con terraza Valencia-Ruzafa,2423092,Maria Luisa,L'EIXAMPLE,RUSSAFA,39.46215,-0.37286,Private room,50,3,141,2025-03-11,1.05,2,354,25,
2486462,APARTMENT IN HISTORIC CENTRE,12723722,Cristina,CIUTAT VELLA,LA SEU,39.47636,-0.37638,Entire home/apt,122,3,243,2025-02-26,1.82,1,132,30,VT - 44804 - V
2488639,FERIA VALENCIA+wifi+garaje PGVT-1718-V,12737363,Toni,POBLATS DE L'OEST,BENIMAMET,39.50489,-0.42584,Entire home/apt,141,2,115,2025-02-08,0.86,1,73,16,PGVT-1718-V
2533554,Habitación en el Cabañal,12976069,Eva,POBLATS MARITIMS,CABANYAL-CANYAMELAR,39.46385,-0.33058,Private room,37,1,295,2025-03-09,2.23,1,23,45,
2534892,Piso romantico Playa Cabanyal wifi,6383590,Sony,POBLATS MARITIMS,CABANYAL-CANYAMELAR,39.46477,-0.33255,Entire home/apt,,4,264,2024-11-01,1.97,1,0,9,VT-36594-V9
2535466,Apartamento  centro Valencia,9933766,Gabriela,EXTRAMURS,LA ROQUETA,39.4682,-0.38089,Entire home/apt,200,3,39,2024-10-08,0.30,1,129,1,VT-40125-V
2606636,¡Impresionantes vistas al mar!,791187,Inés,POBLATS MARITIMS,LA MALVA-ROSA,39.48273,-0.32575,Entire home/apt,,4,154,2024-10-01,1.16,7,0,16,
2646820,Comfy and Luminous apartment with balcony,1497590,David,LA SAIDIA,MORVEDRE,39.48614,-0.37346,Entire home/apt,148,4,92,2025-02-20,0.69,3,152,16,VT-36792-V
2651925,vintage flat in RUZAFA,5175147,Angela,L'EIXAMPLE,RUSSAFA,39.46331,-0.36835,Entire home/apt,42,2,20,2019-10-02,0.17,1,331,0,
2655162,Piso en el casco antiguo. El carmen,13592216,Ana,CIUTAT VELLA,EL CARME,39.47635,-0.38261,Entire home/apt,215,1,0,,,1,365,0,
2706156,Apart.- Loft en Barrio Carmen Vlc,13849445,Felix,CIUTAT VELLA,EL CARME,39.47863,-0.38021,Entire home/apt,153,2,208,2025-01-03,1.62,1,74,35,VT-40399-V
2725241,Petite Penthouse with the sunniest terrace,13945003,Mercedes,EXTRAMURS,ARRANCAPINS,39.461,-0.37965,Entire home/apt,175,2,308,2025-03-02,2.32,3,243,5,VT-37127-V
2782334,QUIET AND SUNNY. IDEAL FAMILIES,14230948,Julia,POBLATS DEL SUD,EL SALER,39.3545,-0.32258,Entire home/apt,99,12,62,2024-10-20,0.47,1,215,4,
2796700,Apartament en Ruzafa,14306345,Carmela,L'EIXAMPLE,RUSSAFA,39.46262,-0.36879,Private room,57,1,4,2023-09-21,0.05,1,312,0,
2821086,COZY APARTMENT IN DOWNTOWN HEART,14432005,Jorge,CIUTAT VELLA,LA SEU,39.47449,-0.37468,Entire home/apt,113,30,420,2025-03-12,3.45,1,0,38,
2851410,Comfy café society enclave,1497590,David,EXTRAMURS,ARRANCAPINS,39.4682,-0.3886,Entire home/apt,144,4,72,2025-03-02,0.56,3,213,16,VT-36793-V
2855311,Precioso  apart. en el centro,14597325,Carlos & Petra,CIUTAT VELLA,EL MERCAT,39.47503,-0.38077,Entire home/apt,90,4,166,2025-03-12,1.25,1,120,12,
2868831,Comfy & handy apartment in Valencia,7479594,Annika + Alex,ALGIROS,LA VEGA BAIXA,39.47615,-0.3499,Entire home/apt,274,10,181,2025-01-05,1.41,1,152,16,
2972825,Between the center and the sea,15166343,Ines,CAMINS AL GRAU,LA CREU DEL GRAU,39.46434,-0.35032,Entire home/apt,98,1,3,2018-11-18,0.03,1,359,0,
3024411,HOSTAL ANDRES-LOFT  EN EL SALER,15410368,Hostal Andres,POBLATS DEL SUD,EL SALER,39.3843,-0.33355,Entire home/apt,160,2,14,2018-07-29,0.13,1,365,0,
3070240,I Loft Valencia,3155089,Francisco,CIUTAT VELLA,LA SEU,39.4785,-0.37601,Entire home/apt,197,1,74,2024-06-19,0.56,12,320,1,VT-34227-V
3079779,"Central Penthouse + Terrace, Wifi",2400319,Luke,EXTRAMURS,LA PETXINA,39.47483,-0.38938,Entire home/apt,111,2,199,2024-11-25,1.55,1,2,17,VT-46877-V
3097721,Piso genial en C. de las Ciencias,5072520,Mayte,CAMINS AL GRAU,PENYA-ROJA,39.45797,-0.34537,Entire home/apt,120,5,33,2024-08-30,0.27,1,50,6,
3161188,DOUBLE ROOM AVAILABLE,6516174,Grego,L'EIXAMPLE,RUSSAFA,39.46075,-0.3764,Private room,39,5,135,2024-11-10,1.17,2,355,8,
3175070,Studio in the old center barrio del Carmen 2º,12282162,Carmina Y Ivan,CIUTAT VELLA,EL CARME,39.47891,-0.38047,Entire home/apt,160,2,409,2025-02-24,3.12,4,186,25,VT-37981-V
3275736,ÁTICO CON TERRAZA IDEAL PAREJAS,670775,Cpi Gestión Encuentra Tu Mansión,EL PLA DEL REAL,JAUME ROIG,39.484,-0.3632,Entire home/apt,,10,0,,,5,0,0,VT32017V
